BeetleFly,dd_dtw_0.6,Random_10,0.65,0.125
BeetleFly,dd_dtw_0.8,Random_10,0.675,0.125
BeetleFly,dd_fdtw_0.6,Random_10,0.6,0.125
BeetleFly,dd_fdtw_0.8,Random_10,0.675,0.125
BeetleFly,dd_itakura_0.6,Random_10,0.65,0.125
BeetleFly,dd_itakura_0.8,Random_10,0.675,0.125
BeetleFly,dd_sakoe_chiba_0.6,Random_10,0.65,0.125
BeetleFly,dd_sakoe_chiba_0.8,Random_10,0.675,0.125
BeetleFly,dd_dtw_0.6,Random_50,0.85,0.5
BeetleFly,dd_dtw_0.8,Random_50,0.925,0.5
BeetleFly,dd_fdtw_0.6,Random_50,0.575,0.5
BeetleFly,dd_fdtw_0.8,Random_50,0.55,0.5
BeetleFly,dd_itakura_0.6,Random_50,0.875,0.5
BeetleFly,dd_itakura_0.8,Random_50,0.925,0.5
BeetleFly,dd_sakoe_chiba_0.6,Random_50,0.85,0.5
BeetleFly,dd_sakoe_chiba_0.8,Random_50,0.8,0.5
BeetleFly,dd_dtw_0.6,Random_30,0.825,0.312
BeetleFly,dd_dtw_0.8,Random_30,0.775,0.312
BeetleFly,dd_fdtw_0.6,Random_30,0.55,0.312
BeetleFly,dd_fdtw_0.8,Random_30,0.65,0.312
BeetleFly,dd_itakura_0.6,Random_30,0.825,0.312
BeetleFly,dd_itakura_0.8,Random_30,0.775,0.312
BeetleFly,dd_sakoe_chiba_0.6,Random_30,0.825,0.312
BeetleFly,dd_sakoe_chiba_0.8,Random_30,0.8,0.312
BeetleFly,dd_dtw_0.6,LassoSVC,0.875,0.7
BeetleFly,dd_dtw_0.8,LassoSVC,0.825,0.719
BeetleFly,dd_fdtw_0.6,LassoSVC,0.725,0.856
BeetleFly,dd_fdtw_0.8,LassoSVC,0.8,0.831
BeetleFly,dd_itakura_0.6,LassoSVC,0.85,0.706
BeetleFly,dd_itakura_0.8,LassoSVC,0.825,0.756
BeetleFly,dd_sakoe_chiba_0.6,LassoSVC,0.825,0.637
BeetleFly,dd_sakoe_chiba_0.8,LassoSVC,0.825,0.613
BeetleFly,dd_dtw_0.6,Tree,0.825,0.431
BeetleFly,dd_dtw_0.8,Tree,0.8,0.388
BeetleFly,dd_fdtw_0.6,Tree,0.675,0.381
BeetleFly,dd_fdtw_0.8,Tree,0.675,0.394
BeetleFly,dd_itakura_0.6,Tree,0.8,0.412
BeetleFly,dd_itakura_0.8,Tree,0.85,0.425
BeetleFly,dd_sakoe_chiba_0.6,Tree,0.725,0.431
BeetleFly,dd_sakoe_chiba_0.8,Tree,0.775,0.463
BirdChicken,dd_dtw_0.6,Random_10,0.7,0.125
BirdChicken,dd_dtw_0.8,Random_10,0.675,0.125
BirdChicken,dd_fdtw_0.6,Random_10,0.625,0.125
BirdChicken,dd_fdtw_0.8,Random_10,0.6,0.125
BirdChicken,dd_itakura_0.6,Random_10,0.7,0.125
BirdChicken,dd_itakura_0.8,Random_10,0.7,0.125
BirdChicken,dd_sakoe_chiba_0.6,Random_10,0.8,0.125
BirdChicken,dd_sakoe_chiba_0.8,Random_10,0.85,0.125
BirdChicken,dd_dtw_0.6,Random_50,0.85,0.5
BirdChicken,dd_dtw_0.8,Random_50,0.875,0.5
BirdChicken,dd_fdtw_0.6,Random_50,0.85,0.5
BirdChicken,dd_fdtw_0.8,Random_50,0.825,0.5
BirdChicken,dd_itakura_0.6,Random_50,0.9,0.5
BirdChicken,dd_itakura_0.8,Random_50,0.875,0.5
BirdChicken,dd_sakoe_chiba_0.6,Random_50,0.9,0.5
BirdChicken,dd_sakoe_chiba_0.8,Random_50,0.95,0.5
BirdChicken,dd_dtw_0.6,Random_30,0.75,0.312
BirdChicken,dd_dtw_0.8,Random_30,0.825,0.312
BirdChicken,dd_fdtw_0.6,Random_30,0.675,0.312
BirdChicken,dd_fdtw_0.8,Random_30,0.675,0.312
BirdChicken,dd_itakura_0.6,Random_30,0.75,0.312
BirdChicken,dd_itakura_0.8,Random_30,0.85,0.312
BirdChicken,dd_sakoe_chiba_0.6,Random_30,0.875,0.312
BirdChicken,dd_sakoe_chiba_0.8,Random_30,0.9,0.312
BirdChicken,dd_dtw_0.6,LassoSVC,0.925,0.744
BirdChicken,dd_dtw_0.8,LassoSVC,0.875,0.694
BirdChicken,dd_fdtw_0.6,LassoSVC,0.875,0.844
BirdChicken,dd_fdtw_0.8,LassoSVC,0.9,0.8
BirdChicken,dd_itakura_0.6,LassoSVC,0.925,0.788
BirdChicken,dd_itakura_0.8,LassoSVC,0.875,0.713
BirdChicken,dd_sakoe_chiba_0.6,LassoSVC,0.925,0.631
BirdChicken,dd_sakoe_chiba_0.8,LassoSVC,0.925,0.544
BirdChicken,dd_dtw_0.6,Tree,0.725,0.425
BirdChicken,dd_dtw_0.8,Tree,0.75,0.387
BirdChicken,dd_fdtw_0.6,Tree,0.875,0.425
BirdChicken,dd_fdtw_0.8,Tree,0.85,0.425
BirdChicken,dd_itakura_0.6,Tree,0.7,0.431
BirdChicken,dd_itakura_0.8,Tree,0.75,0.4
BirdChicken,dd_sakoe_chiba_0.6,Tree,0.775,0.406
BirdChicken,dd_sakoe_chiba_0.8,Tree,0.85,0.381
Coffee,dd_dtw_0.6,Random_10,0.96364,0.112
Coffee,dd_dtw_0.8,Random_10,0.98182,0.112
Coffee,dd_fdtw_0.6,Random_10,1,0.112
Coffee,dd_fdtw_0.8,Random_10,1,0.112
Coffee,dd_itakura_0.6,Random_10,0.96364,0.112
Coffee,dd_itakura_0.8,Random_10,0.98182,0.112
Coffee,dd_sakoe_chiba_0.6,Random_10,0.96364,0.112
Coffee,dd_sakoe_chiba_0.8,Random_10,0.98182,0.112
Coffee,dd_dtw_0.6,Random_50,1,0.509
Coffee,dd_dtw_0.8,Random_50,1,0.509
Coffee,dd_fdtw_0.6,Random_50,1,0.509
Coffee,dd_fdtw_0.8,Random_50,1,0.509
Coffee,dd_itakura_0.6,Random_50,1,0.509
Coffee,dd_itakura_0.8,Random_50,1,0.509
Coffee,dd_sakoe_chiba_0.6,Random_50,1,0.509
Coffee,dd_sakoe_chiba_0.8,Random_50,1,0.509
Coffee,dd_dtw_0.6,Random_30,1,0.313
Coffee,dd_dtw_0.8,Random_30,1,0.313
Coffee,dd_fdtw_0.6,Random_30,1,0.313
Coffee,dd_fdtw_0.8,Random_30,1,0.313
Coffee,dd_itakura_0.6,Random_30,1,0.313
Coffee,dd_itakura_0.8,Random_30,1,0.313
Coffee,dd_sakoe_chiba_0.6,Random_30,1,0.313
Coffee,dd_sakoe_chiba_0.8,Random_30,1,0.313
Coffee,dd_dtw_0.6,LassoSVC,1,0.375
Coffee,dd_dtw_0.8,LassoSVC,0.98182,0.428
Coffee,dd_fdtw_0.6,LassoSVC,1,0.732
Coffee,dd_fdtw_0.8,LassoSVC,1,0.821
Coffee,dd_itakura_0.6,LassoSVC,1,0.379
Coffee,dd_itakura_0.8,LassoSVC,0.98182,0.437
Coffee,dd_sakoe_chiba_0.6,LassoSVC,1,0.384
Coffee,dd_sakoe_chiba_0.8,LassoSVC,0.98182,0.433
Coffee,dd_dtw_0.6,Tree,0.98182,0.447
Coffee,dd_dtw_0.8,Tree,1,0.402
Coffee,dd_fdtw_0.6,Tree,0.98182,0.402
Coffee,dd_fdtw_0.8,Tree,1,0.379
Coffee,dd_itakura_0.6,Tree,0.98182,0.429
Coffee,dd_itakura_0.8,Tree,1,0.393
Coffee,dd_sakoe_chiba_0.6,Tree,0.98182,0.438
Coffee,dd_sakoe_chiba_0.8,Tree,1,0.415
Beef,dd_dtw_0.6,Random_10,0.35,0.104
Beef,dd_dtw_0.8,Random_10,0.31667,0.104
Beef,dd_fdtw_0.6,Random_10,0.4,0.104
Beef,dd_fdtw_0.8,Random_10,0.25,0.104
Beef,dd_itakura_0.6,Random_10,0.33333,0.104
Beef,dd_itakura_0.8,Random_10,0.31667,0.104
Beef,dd_sakoe_chiba_0.6,Random_10,0.36667,0.104
Beef,dd_sakoe_chiba_0.8,Random_10,0.31667,0.104
Beef,dd_dtw_0.6,Random_50,0.6,0.5
Beef,dd_dtw_0.8,Random_50,0.5,0.5
Beef,dd_fdtw_0.6,Random_50,0.58333,0.5
Beef,dd_fdtw_0.8,Random_50,0.63333,0.5
Beef,dd_itakura_0.6,Random_50,0.5,0.5
Beef,dd_itakura_0.8,Random_50,0.6,0.5
Beef,dd_sakoe_chiba_0.6,Random_50,0.6,0.5
Beef,dd_sakoe_chiba_0.8,Random_50,0.55,0.5
Beef,dd_dtw_0.6,Random_30,0.5,0.312
Beef,dd_dtw_0.8,Random_30,0.51667,0.312
Beef,dd_fdtw_0.6,Random_30,0.48333,0.312
Beef,dd_fdtw_0.8,Random_30,0.6,0.312
Beef,dd_itakura_0.6,Random_30,0.53333,0.312
Beef,dd_itakura_0.8,Random_30,0.55,0.312
Beef,dd_sakoe_chiba_0.6,Random_30,0.51667,0.312
Beef,dd_sakoe_chiba_0.8,Random_30,0.56667,0.312
Beef,dd_dtw_0.6,LassoSVC,0.63333,0.921
Beef,dd_dtw_0.8,LassoSVC,0.71667,0.854
Beef,dd_fdtw_0.6,LassoSVC,0.58333,1
Beef,dd_fdtw_0.8,LassoSVC,0.73333,1
Beef,dd_itakura_0.6,LassoSVC,0.66667,0.908
