dataset,n_features,n_max,1NN_fastdtw,features_fastdtw,fdtw_linear_fastdtw,n_linear_used
BirdChicken,40,10,0.75,0.65,0.617,10.0
BeetleFly,40,10,0.7,0.75,0.667,10.0
Coffee,56,14,0.964,1.0,1.0,17.0
Beef,60,15,0.567,0.4,0.478,10.667
OliveOil,60,15,0.833,0.833,0.878,10.667
Rock,70,10,0.62,0.44,0.433,10.0
PickupGestureWiimoteZ,100,25,0.76,0.74,0.62,16.333
ShakeGestureWiimoteZ,100,25,0.84,0.96,0.813,18.0
Wine,111,28,0.593,0.722,0.654,19.0
FaceFour,112,12,0.841,0.875,0.833,16.667
Meat,120,30,0.933,0.967,0.933,12.667
Car,120,30,0.75,0.667,0.606,23.0
Lightning2,121,30,0.787,0.705,0.639,24.667
Herring,128,32,0.547,0.516,0.583,30.0
Lightning7,143,35,0.781,0.726,0.68,25.667
DodgerLoopWeekend,158,10,0.978,0.978,0.981,10.0
DodgerLoopGame,158,10,0.877,0.812,0.758,10.0
DodgerLoopDay,158,39,0.4,0.525,0.429,26.0
HouseTwenty,159,20,0.899,0.866,0.868,15.667
ToeSegmentation2,166,18,0.815,0.831,0.777,20.0
BME,180,15,0.967,0.967,0.907,12.333
UMD,180,18,0.861,0.847,0.81,11.0
GunPoint,200,25,0.893,0.9,0.702,11.0
ECG200,200,50,0.83,0.8,0.71,32.0
ShapeletSim,200,10,0.667,0.594,0.548,10.0
Trace,200,50,0.99,1.0,0.99,20.0
ACSF1,200,50,0.25,0.55,0.43,38.667
Fungi,204,9,0.871,0.737,0.5,10.0
Plane,210,52,1.0,0.981,0.99,21.0
ArrowHead,211,18,0.691,0.714,0.568,13.0
Ham,214,54,0.524,0.619,0.67,44.0
WormsTwoClass,258,90,0.597,0.662,0.645,85.0
Worms,258,90,0.481,0.584,0.558,85.0
InsectEPGSmallTrain,266,8,1.0,1.0,1.0,10.0
ToeSegmentation1,268,20,0.794,0.706,0.722,20.0
SmoothSubspace,300,75,0.913,1.0,0.996,52.667
GesturePebbleZ1,304,66,0.936,0.948,0.893,55.333
GesturePebbleZ2,304,73,0.867,0.93,0.88,48.333
InsectEPGRegularTrain,311,31,1.0,1.0,1.0,12.0
PigAirwayPressure,312,52,0.236,0.072,0.099,26.0
PigCVP,312,52,0.433,0.288,0.152,25.333
PigArtPressure,312,52,0.317,0.135,0.107,24.667
DiatomSizeReduction,322,8,0.964,0.98,0.936,10.0
GestureMidAirD2,338,100,0.362,0.446,0.415,46.667
GestureMidAirD3,338,100,0.192,0.369,0.295,43.667
GestureMidAirD1,338,100,0.438,0.592,0.528,50.667
Fish,350,88,0.846,0.834,0.785,48.667
PowerCons,360,90,0.9,0.961,0.963,70.333
Chinatown,363,10,0.953,0.98,0.969,10.0
OSULeaf,442,100,0.636,0.5,0.448,103.0
GunPointMaleVersusFemale,451,68,0.984,0.937,0.927,27.0
GunPointAgeSpan,451,68,0.981,0.953,0.872,27.0
GunPointOldVersusYoung,451,68,1.0,1.0,1.0,27.0
Earthquakes,461,100,0.712,0.655,0.633,64.0
Haptics,463,78,0.373,0.386,0.316,55.667
Computers,500,100,0.644,0.612,0.513,62.333
DistalPhalanxOutlineAgeGroup,539,100,0.748,0.734,0.681,80.0
DistalPhalanxTW,539,100,0.647,0.439,0.638,80.0
MiddlePhalanxTW,553,100,0.494,0.604,0.519,80.0
MiddlePhalanxOutlineAgeGroup,554,100,0.513,0.435,0.539,80.0
SyntheticControl,600,100,0.96,0.99,0.978,63.333
ProximalPhalanxTW,605,100,0.751,0.79,0.75,80.0
ProximalPhalanxOutlineAgeGroup,605,100,0.776,0.854,0.855,80.0
SonyAIBORobotSurface1,621,10,0.717,0.727,0.834,10.0
InlineSkate,650,50,0.389,0.325,0.233,30.0
EOGHorizontalSignal,724,100,0.478,0.445,0.5,72.0
EOGVerticalSignal,724,100,0.464,0.436,0.393,72.0
RefrigerationDevices,750,100,0.448,0.501,0.455,77.333
ScreenType,750,100,0.403,0.413,0.385,77.0
LargeKitchenAppliances,750,100,0.824,0.763,0.74,86.667
SmallKitchenAppliances,750,100,0.685,0.693,0.667,86.0
CricketY,780,100,0.731,0.664,0.59,85.333
CricketX,780,100,0.746,0.726,0.579,78.0
CricketZ,780,100,0.782,0.705,0.589,78.0
Adiac,781,100,0.588,0.56,0.473,79.333
DistalPhalanxOutlineCorrect,876,100,0.721,0.743,0.697,120.0
ECGFiveDays,884,12,0.786,0.76,0.736,14.667
MiddlePhalanxOutlineCorrect,891,100,0.704,0.732,0.641,120.0
ProximalPhalanxOutlineCorrect,891,100,0.766,0.354,0.55,120.0
SemgHandGenderCh2,900,100,0.855,0.78,0.696,85.333
SemgHandSubjectCh2,900,100,0.787,0.784,0.69,139.333
SemgHandMovementCh2,900,100,0.687,0.607,0.531,121.333
WordSynonyms,905,100,0.676,0.641,0.578,107.333
FiftyWords,905,100,0.712,0.732,0.683,171.667
CBF,930,15,0.992,0.971,0.937,17.0
SonyAIBORobotSurface2,980,14,0.838,0.803,0.761,13.667
Strawberry,983,100,0.943,0.927,0.834,123.0
AllGestureWiimoteZ,1000,100,0.699,0.563,0.541,94.0
AllGestureWiimoteX,1000,100,0.741,0.613,0.594,97.667
AllGestureWiimoteY,1000,100,0.736,0.646,0.623,98.667
EthanolLevel,1004,100,0.28,0.264,0.267,101.0
Symbols,1020,12,0.948,0.956,0.805,10.0
PLAID,1074,100,0.905,0.318,0.318,107.0
ItalyPowerDemand,1096,34,0.947,0.948,0.943,26.333
SwedishLeaf,1125,100,0.786,0.805,0.739,100.0
MedicalImages,1141,100,0.746,0.638,0.65,85.0
TwoLeadECG,1162,12,0.931,0.981,0.941,10.0
ShapesAll,1200,100,0.767,0.743,0.649,120.0
MoteStrain,1272,10,0.891,0.883,0.815,10.0
CinCECGTorso,1420,20,0.695,0.449,0.383,19.667
Phoneme,2110,100,0.218,0.247,0.206,68.333
InsectWingbeatSound,2200,100,0.434,0.498,0.42,94.333
FacesUCR,2250,100,0.939,0.9,0.86,84.0
FaceAll,2250,100,0.76,0.779,0.758,112.0
Mallat,2400,28,0.912,0.942,0.803,17.333
MixedShapesSmallTrain,2525,50,0.774,0.734,0.717,42.0
PhalangesOutlinesCorrect,2658,100,0.719,0.664,0.711,360.0
FreezerSmallTrain,2878,14,0.726,0.764,0.69,11.667
MixedShapesRegularTrain,2925,100,0.844,0.849,0.813,100.0
FreezerRegularTrain,3000,75,0.918,0.924,0.911,30.0
Yoga,3300,100,0.835,0.73,0.657,62.333
MelbournePedestrian,3633,100,0.908,0.72,0.713,239.0
ChlorineConcentration,4307,100,0.626,0.394,0.505,93.333
UWaveGestureLibraryY,4478,100,0.639,0.671,0.591,179.0
UWaveGestureLibraryX,4478,100,0.734,0.784,0.719,179.0
