dataset,n_features,n_max,1NN_fastdtw,features_fastdtw,random50_fastdtw,fdtw_mean0_fastdtw,n_mean0_used,fdtw_mean1_fastdtw,n_mean1_used,fdtw_max0_fastdtw,n_max0_used
GunPoint,200,25,0.893,0.9,0.863,0.836,14.333,0.793,11.333,0.733,10.0
ECG200,200,50,0.83,0.8,0.774,0.723,38.333,0.727,25.333,0.693,22.667
ShapeletSim,200,10,0.667,0.594,0.524,0.53,10.0,0.557,10.0,0.539,10.0
Trace,200,50,0.99,1.0,1.0,1.0,20.0,0.993,20.0,0.98,20.0
ACSF1,200,50,0.25,0.55,0.474,0.513,59.333,0.44,33.0,0.43,30.333
Fungi,204,9,0.871,0.737,0.449,0.532,10.0,0.554,10.0,0.622,10.0
Plane,210,52,1.0,0.981,0.985,0.997,22.667,0.987,22.333,0.99,22.667
ArrowHead,211,18,0.691,0.714,0.568,0.604,15.667,0.55,12.333,0.598,10.333
Ham,214,54,0.524,0.619,0.653,0.686,47.667,0.635,26.667,0.673,26.0
WormsTwoClass,258,90,0.597,0.662,0.623,0.584,91.0,0.606,36.0,0.567,38.0
Worms,258,90,0.481,0.584,0.506,0.528,92.333,0.39,37.667,0.355,38.333
InsectEPGSmallTrain,266,8,1.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0
ToeSegmentation1,268,20,0.794,0.706,0.695,0.659,20.0,0.7,20.667,0.656,17.333
SmoothSubspace,300,75,0.913,1.0,0.996,1.0,80.667,0.998,38.667,0.989,35.667
GesturePebbleZ1,304,66,0.936,0.948,0.915,0.919,44.0,0.882,28.667,0.874,26.667
GesturePebbleZ2,304,73,0.867,0.93,0.922,0.92,47.0,0.857,29.667,0.873,33.333
InsectEPGRegularTrain,311,31,1.0,1.0,1.0,1.0,12.0,1.0,12.0,1.0,12.0
PigAirwayPressure,312,52,0.236,0.072,0.086,0.107,27.667,0.104,21.333,0.087,22.333
PigCVP,312,52,0.433,0.288,0.211,0.131,26.0,0.173,24.333,0.144,22.667
PigArtPressure,312,52,0.317,0.135,0.127,0.074,27.0,0.093,21.333,0.072,21.333
DiatomSizeReduction,322,8,0.964,0.98,0.911,0.977,10.0,0.946,10.0,0.975,10.0
GestureMidAirD2,338,100,0.362,0.446,0.417,0.364,58.0,0.369,42.333,0.331,42.667
GestureMidAirD3,338,100,0.192,0.369,0.311,0.292,48.0,0.315,43.0,0.259,42.333
GestureMidAirD1,338,100,0.438,0.592,0.56,0.559,52.333,0.515,43.333,0.567,43.333
Fish,350,88,0.846,0.834,0.814,0.8,53.667,0.68,41.0,0.75,38.0
PowerCons,360,90,0.9,0.961,0.946,0.939,73.333,0.939,39.0,0.933,40.667
Chinatown,363,10,0.953,0.98,0.956,0.951,10.0,0.968,10.0,0.965,10.0
OSULeaf,442,100,0.636,0.5,0.449,0.489,119.667,0.423,63.0,0.466,56.333
GunPointMaleVersusFemale,451,68,0.984,0.937,0.978,0.946,27.0,0.877,27.0,0.934,27.0
GunPointAgeSpan,451,68,0.981,0.953,0.86,0.948,27.0,0.943,27.0,0.936,27.0
GunPointOldVersusYoung,451,68,1.0,1.0,1.0,1.0,27.0,1.0,27.0,1.0,27.0
Earthquakes,461,100,0.712,0.655,0.669,0.693,64.0,0.729,64.0,0.501,64.0
Haptics,463,78,0.373,0.386,0.352,0.357,57.333,0.323,35.667,0.34,36.333
Computers,500,100,0.644,0.612,0.546,0.535,69.333,0.537,53.0,0.529,56.0
DistalPhalanxOutlineAgeGroup,539,100,0.748,0.734,0.678,0.712,84.0,0.715,80.0,0.645,80.0
DistalPhalanxTW,539,100,0.647,0.439,0.409,0.542,83.333,0.432,80.667,0.643,80.333
MiddlePhalanxTW,553,100,0.494,0.604,0.506,0.506,83.0,0.418,80.667,0.483,80.0
MiddlePhalanxOutlineAgeGroup,554,100,0.513,0.435,0.484,0.511,83.333,0.539,80.667,0.379,80.333
SyntheticControl,600,100,0.96,0.99,0.982,0.982,75.0,0.979,60.0,0.984,60.0
ProximalPhalanxTW,605,100,0.751,0.79,0.774,0.709,80.0,0.704,80.0,0.753,80.0
ProximalPhalanxOutlineAgeGroup,605,100,0.776,0.854,0.839,0.776,80.0,0.85,80.0,0.85,80.0
SonyAIBORobotSurface1,621,10,0.717,0.727,0.753,0.775,10.0,0.82,10.0,0.764,10.0
InlineSkate,650,50,0.389,0.325,0.255,0.246,31.0,0.228,23.333,0.227,20.667
EOGHorizontalSignal,724,100,0.478,0.445,0.507,0.481,75.0,0.533,73.333,0.471,73.0
EOGVerticalSignal,724,100,0.464,0.436,0.357,0.369,74.667,0.378,72.0,0.436,72.0
RefrigerationDevices,750,100,0.448,0.501,0.441,0.465,83.333,0.434,75.667,0.493,76.667
ScreenType,750,100,0.403,0.413,0.365,0.388,94.667,0.388,78.0,0.361,79.667
LargeKitchenAppliances,750,100,0.824,0.763,0.715,0.722,98.333,0.733,77.0,0.722,79.667
SmallKitchenAppliances,750,100,0.685,0.693,0.674,0.673,101.333,0.676,81.0,0.675,79.0
CricketY,780,100,0.731,0.664,0.587,0.592,89.333,0.547,79.667,0.54,79.667
CricketX,780,100,0.746,0.726,0.599,0.621,107.333,0.578,80.667,0.583,80.333
CricketZ,780,100,0.782,0.705,0.584,0.623,107.0,0.582,80.667,0.539,78.333
Adiac,781,100,0.588,0.56,0.475,0.535,93.0,0.513,81.333,0.477,87.0
DistalPhalanxOutlineCorrect,876,100,0.721,0.743,0.627,0.736,120.0,0.646,120.0,0.708,120.0
ECGFiveDays,884,12,0.786,0.76,0.646,0.718,13.333,0.67,11.0,0.724,11.0
MiddlePhalanxOutlineCorrect,891,100,0.704,0.732,0.677,0.653,120.0,0.678,120.0,0.601,120.0
ProximalPhalanxOutlineCorrect,891,100,0.766,0.354,0.8,0.725,120.0,0.721,120.0,0.786,120.0
SemgHandGenderCh2,900,100,0.855,0.78,0.751,0.612,61.333,0.642,60.0,0.699,60.0
SemgHandSubjectCh2,900,100,0.787,0.784,0.675,0.621,90.0,0.567,90.0,0.617,90.0
SemgHandMovementCh2,900,100,0.687,0.607,0.52,0.451,90.0,0.514,90.0,0.519,90.0
WordSynonyms,905,100,0.676,0.641,0.555,0.583,106.0,0.521,70.667,0.54,73.333
FiftyWords,905,100,0.712,0.732,0.638,0.697,180.0,0.653,101.333,0.652,105.0
CBF,930,15,0.992,0.971,0.956,0.955,13.0,0.95,11.667,0.921,10.667
SonyAIBORobotSurface2,980,14,0.838,0.803,0.754,0.787,15.333,0.756,15.0,0.779,14.0
Strawberry,983,100,0.943,0.927,0.895,0.895,123.0,0.821,123.0,0.897,123.0
AllGestureWiimoteZ,1000,100,0.699,0.563,0.528,0.528,93.0,0.493,63.0,0.502,62.333
AllGestureWiimoteX,1000,100,0.741,0.613,0.579,0.558,95.0,0.564,68.333,0.504,67.0
AllGestureWiimoteY,1000,100,0.736,0.646,0.589,0.584,100.0,0.57,69.0,0.577,63.333
EthanolLevel,1004,100,0.28,0.264,0.257,0.259,101.0,0.258,101.0,0.27,101.0
Symbols,1020,12,0.948,0.956,0.932,0.873,10.667,0.822,10.0,0.81,10.0
PLAID,1074,100,0.905,0.318,0.317,0.176,107.0,0.338,107.0,0.313,107.0
ItalyPowerDemand,1096,34,0.947,0.948,0.945,0.944,24.667,0.931,18.0,0.935,16.667
SwedishLeaf,1125,100,0.786,0.805,0.71,0.726,100.0,0.753,100.0,0.705,100.0
MedicalImages,1141,100,0.746,0.638,0.596,0.559,104.333,0.637,81.0,0.66,80.333
TwoLeadECG,1162,12,0.931,0.981,0.942,0.956,12.0,0.943,10.333,0.896,10.0
ShapesAll,1200,100,0.767,0.743,0.667,0.687,120.0,0.677,120.0,0.673,120.0
MoteStrain,1272,10,0.891,0.883,0.823,0.838,10.0,0.819,10.0,0.816,10.0
CinCECGTorso,1420,20,0.695,0.449,0.374,0.357,20.667,0.369,15.667,0.359,17.333
Phoneme,2110,100,0.218,0.247,0.201,0.2,82.0,0.162,53.0,0.156,52.0
InsectWingbeatSound,2200,100,0.434,0.498,0.44,0.415,86.667,0.394,50.667,0.402,45.667
FacesUCR,2250,100,0.939,0.9,0.866,0.862,97.333,0.807,48.0,0.824,52.0
FaceAll,2250,100,0.76,0.779,0.748,0.753,112.0,0.749,112.0,0.746,112.0
Mallat,2400,28,0.912,0.942,0.932,0.911,17.0,0.826,15.333,0.849,14.333
MixedShapesSmallTrain,2525,50,0.774,0.734,0.736,0.74,43.333,0.723,32.0,0.738,27.667
PhalangesOutlinesCorrect,2658,100,0.719,0.664,0.667,0.617,360.0,0.652,360.0,0.715,360.0
FreezerSmallTrain,2878,14,0.726,0.764,0.775,0.61,10.333,0.746,10.0,0.749,10.333
MixedShapesRegularTrain,2925,100,0.844,0.849,0.773,0.793,100.0,0.8,100.0,0.805,100.0
FreezerRegularTrain,3000,75,0.918,0.924,0.874,0.839,30.667,0.926,30.667,0.854,31.333
Yoga,3300,100,0.835,0.73,0.65,0.641,73.0,0.606,62.0,0.655,60.333
MelbournePedestrian,3633,100,0.908,0.72,0.794,0.74,239.0,0.798,239.0,0.686,239.0
ChlorineConcentration,4307,100,0.626,0.394,0.488,0.495,97.333,0.435,93.0,0.509,93.0
UWaveGestureLibraryY,4478,100,0.639,0.671,0.517,0.628,179.0,0.577,179.0,0.606,179.0
UWaveGestureLibraryX,4478,100,0.734,0.784,0.709,0.753,179.0,0.743,179.0,0.751,179.0
UWaveGestureLibraryZ,4478,100,0.655,0.696,0.609,0.648,179.0,0.627,179.0,0.624,179.0
UWaveGestureLibraryAll,4478,100,0.924,0.956,0.888,0.916,179.0,0.912,179.0,0.914,179.0
ECG5000,5000,100,0.928,0.883,0.928,0.922,100.0,0.918,100.0,0.927,100.0
TwoPatterns,5000,100,1.0,0.998,0.992,0.996,200.0,0.996,200.0,0.996,200.0
Wafer,7164,100,0.984,0.983,0.969,0.979,200.0,0.981,200.0,0.975,200.0
