dataset,n_features,n_max,1NN_fastdtw,features_fastdtw,random50_fastdtw,fdtw_mean0_fastdtw,n_mean0_used,fdtw_mean1_fastdtw,n_mean1_used,fdtw_max0_fastdtw,n_max0_used
BirdChicken,40,10,0.75,0.65,0.68,0.75,10.0,0.717,10.0,0.717,10.0
BeetleFly,40,10,0.7,0.75,0.67,0.7,10.0,0.65,10.0,0.75,10.0
Coffee,56,14,0.964,1.0,0.95,1.0,15.0,0.988,10.333,0.988,14.0
Beef,60,15,0.567,0.4,0.52,0.533,14.667,0.456,10.667,0.5,10.0
OliveOil,60,15,0.833,0.833,0.873,0.822,16.0,0.833,10.0,0.878,10.667
Rock,70,10,0.62,0.44,0.412,0.36,10.0,0.353,10.0,0.407,10.0
PickupGestureWiimoteZ,100,25,0.76,0.74,0.724,0.727,20.333,0.653,14.0,0.6,12.0
ShakeGestureWiimoteZ,100,25,0.84,0.96,0.936,0.82,21.0,0.72,17.0,0.727,10.667
Wine,111,28,0.593,0.722,0.726,0.667,18.333,0.747,12.0,0.568,12.0
FaceFour,112,12,0.841,0.875,0.743,0.807,15.333,0.788,13.333,0.72,11.0
Meat,120,30,0.933,0.967,0.96,0.956,18.0,0.956,13.0,0.922,12.0
Car,120,30,0.75,0.667,0.587,0.567,25.333,0.561,14.667,0.45,12.667
Lightning2,121,30,0.787,0.705,0.715,0.678,26.667,0.645,16.667,0.623,15.333
Herring,128,32,0.547,0.516,0.553,0.562,24.0,0.594,16.333,0.573,13.667
Lightning7,143,35,0.781,0.726,0.701,0.699,26.333,0.689,17.333,0.68,17.667
DodgerLoopWeekend,158,10,0.978,0.978,0.961,0.976,10.0,0.973,10.0,0.976,10.0
DodgerLoopGame,158,10,0.877,0.812,0.762,0.737,10.0,0.746,10.0,0.681,10.0
DodgerLoopDay,158,39,0.4,0.525,0.432,0.454,35.0,0.404,18.333,0.454,22.0
HouseTwenty,159,20,0.899,0.866,0.852,0.849,20.0,0.86,11.0,0.871,14.0
ToeSegmentation2,166,18,0.815,0.831,0.723,0.8,20.667,0.764,19.333,0.726,17.0
BME,180,15,0.967,0.967,0.937,0.773,10.667,0.933,10.333,0.924,10.667
UMD,180,18,0.861,0.847,0.817,0.738,15.0,0.722,12.333,0.581,10.333
