dataset,1NN_dtw,1NN_fastdtw,one_from_class
CricketX,780,0.7487179487179487,0.7461538461538462,0.16923076923076924
CricketZ,780,0.7717948717948718,0.782051282051282,0.17435897435897435
Adiac,781,0.5242966751918159,0.5882352941176471,0.34271099744245526
SemgHandSubjectCh2,900,0.6577777777777778,0.7866666666666666,0.2
SemgHandMovementCh2,900,0.4777777777777778,0.6866666666666666,0.1711111111111111
FiftyWords,905,0.7098901098901099,0.7120879120879121,0.6065934065934065
MedicalImages,1141,0.7289473684210527,0.7460526315789474,0.37763157894736843
FacesUCR,2250,0.9175609756097561,0.9385365853658536,0.6278048780487805
FreezerRegularTrain,3000,0.8729824561403509,0.9178947368421052,0.5
Phoneme,2110,0.22837552742616032,0.21835443037974683,0.18829113924050633
InsectWingbeatSound,2200,0.43333333333333335,0.43434343434343436,0.23737373737373738
EthanolLevel,1004,0.278,0.28,0.24
DistalPhalanxOutlineCorrect,876,0.6920289855072463,0.7210144927536232,0.5869565217391305
MiddlePhalanxOutlineCorrect,891,0.6838487972508591,0.7044673539518901,0.570446735395189
ProximalPhalanxOutlineCorrect,891,0.7525773195876289,0.7663230240549829,0.6769759450171822
SwedishLeaf,1125,0.7472,0.7856,0.6128
PLAID,1074,0.9143389199255121,0.9050279329608939,0.22905027932960895
Strawberry,983,0.9378378378378378,0.9432432432432433,0.6702702702702703
ShapesAll,1200,0.7633333333333333,0.7666666666666667,0.6716666666666666
Yoga,3300,0.8313333333333334,0.8346666666666667,0.5133333333333333
FaceAll,2250,0.750887573964497,0.7603550295857988,0.4550295857988166
MixedShapesRegularTrain,2925,0.843298969072165,0.8441237113402061,0.5934020618556701
ChlorineConcentration,4307,0.6229166666666667,0.6260416666666667,0.5294270833333333
ECG5000,5000,0.9268888888888889,0.9284444444444444,0.8293333333333334
UWaveGestureLibraryY,4478,0.6381909547738693,0.638749302065885,0.3891680625348967
UWaveGestureLibraryX,4478,0.7266890005583473,0.7336683417085427,0.4519821328866555
UWaveGestureLibraryZ,4478,0.6532663316582915,0.6549413735343383,0.2953657174762702
UWaveGestureLibraryAll,4478,0.9123394751535455,0.9240647682858738,0.417643774427694
MelbournePedestrian,3633,0.8798687986879868,0.9081590815908159,0.7392373923739237
PhalangesOutlinesCorrect,2658,0.696969696969697,0.7191142191142191,0.6130536130536131
TwoPatterns,5000,1.0,1.0,0.616
Wafer,7164,0.9816677482154446,0.9836145360155742,0.8917910447761194
ElectricDevices,16637,0.6691739074050058,0.6275450654908572,0.20853326416807158
Crop,24000,0.674404761904762,0.6926785714285715,0.41892857142857143
