dataset,1NN_dtw,1NN_fastdtw,one_from_class
BirdChicken,40,0.75,0.75,0.65
BeetleFly,40,0.7,0.7,0.5
Rock,70,0.64,0.62,0.52
Coffee,56,0.9642857142857143,0.9642857142857143,0.9642857142857143
Beef,60,0.5666666666666667,0.5666666666666667,0.4666666666666667
OliveOil,60,0.8333333333333334,0.8333333333333334,0.8333333333333334
FaceFour,112,0.8409090909090909,0.8409090909090909,0.8522727272727273
DodgerLoopWeekend,158,0.9637681159420289,0.9782608695652174,0.9492753623188406
DodgerLoopGame,158,0.8695652173913043,0.8768115942028986,0.5217391304347826
Fungi,204,0.8440860215053764,0.8709677419354839,0.7365591397849462
ShapeletSim,200,0.7166666666666667,0.6666666666666666,0.5
InsectEPGSmallTrain,266,1.0,1.0,1.0
PickupGestureWiimoteZ,100,0.72,0.76,0.74
ShakeGestureWiimoteZ,100,0.86,0.84,0.88
DiatomSizeReduction,322,0.9575163398692811,0.9640522875816994,0.9607843137254902
BME,180,0.8866666666666667,0.9666666666666667,0.6533333333333333
ToeSegmentation2,166,0.8461538461538461,0.8153846153846154,0.8307692307692308
Wine,111,0.5925925925925926,0.5925925925925926,0.35185185185185186
HouseTwenty,159,0.865546218487395,0.8991596638655462,0.8067226890756303
UMD,180,0.8472222222222222,0.8611111111111112,0.5
Meat,120,0.95,0.9333333333333333,0.7833333333333333
Car,120,0.7333333333333333,0.75,0.31666666666666665
Chinatown,363,0.9416909620991254,0.9533527696793003,0.27988338192419826
Lightning2,121,0.8032786885245902,0.7868852459016393,0.5737704918032787
ArrowHead,211,0.6685714285714286,0.6914285714285714,0.49714285714285716
Herring,128,0.546875,0.546875,0.484375
GunPoint,200,0.8866666666666667,0.8933333333333333,0.6133333333333333
Lightning7,143,0.7671232876712328,0.7808219178082192,0.5753424657534246
ToeSegmentation1,268,0.7982456140350878,0.793859649122807,0.47368421052631576
DodgerLoopDay,158,0.4,0.4,0.225
SonyAIBORobotSurface1,621,0.6638935108153078,0.7171381031613977,0.8635607321131448
InsectEPGRegularTrain,311,1.0,1.0,1.0
ECG200,200,0.79,0.83,0.65
Trace,200,0.99,0.99,0.84
ACSF1,200,0.8,0.25,0.25
ECGFiveDays,884,0.7514518002322881,0.7862950058072009,0.49709639953542395
Plane,210,1.0,1.0,0.9523809523809523
Ham,214,0.5619047619047619,0.5238095238095238,0.6666666666666666
MoteStrain,1272,0.896964856230032,0.8913738019169329,0.542332268370607
Symbols,1020,0.9507537688442211,0.9477386934673366,0.9246231155778895
SonyAIBORobotSurface2,980,0.8195173137460651,0.838405036726128,0.7691500524658972
TwoLeadECG,1162,0.9271290605794557,0.9306409130816505,0.6769095697980685
CBF,930,0.97,0.9922222222222222,0.8988888888888888
PigAirwayPressure,312,0.23557692307692307,0.23557692307692307,0.0625
PigCVP,312,0.4519230769230769,0.4326923076923077,0.22596153846153846
PigArtPressure,312,0.5769230769230769,0.3173076923076923,0.15384615384615385
GesturePebbleZ1,304,0.8837209302325582,0.936046511627907,0.8372093023255814
GesturePebbleZ2,304,0.8417721518987342,0.8670886075949367,0.7848101265822784
SmoothSubspace,300,0.8533333333333334,0.9133333333333333,0.8466666666666667
WormsTwoClass,258,0.6103896103896104,0.5974025974025974,0.5714285714285714
Worms,258,0.5064935064935064,0.4805194805194805,0.1038961038961039
CinCECGTorso,1420,0.6934782608695652,0.6949275362318841,0.2985507246376812
GunPointMaleVersusFemale,451,0.9841772151898734,0.9841772151898734,0.5221518987341772
GunPointAgeSpan,451,0.9810126582278481,0.9810126582278481,0.6424050632911392
Fish,350,0.84,0.8457142857142858,0.5771428571428572
GunPointOldVersusYoung,451,1.0,1.0,1.0
PowerCons,360,0.8777777777777778,0.9,0.8333333333333334
InlineSkate,650,0.38,0.3890909090909091,0.17454545454545456
GestureMidAirD2,338,0.36923076923076925,0.36153846153846153,0.38461538461538464
GestureMidAirD3,338,0.19230769230769232,0.19230769230769232,0.15384615384615385
GestureMidAirD1,338,0.4307692307692308,0.43846153846153846,0.49230769230769234
Haptics,463,0.3538961038961039,0.37337662337662336,0.20454545454545456
ItalyPowerDemand,1096,0.9183673469387755,0.9465500485908649,0.6171039844509232
FreezerSmallTrain,2878,0.6964912280701754,0.7256140350877193,0.611578947368421
OSULeaf,442,0.628099173553719,0.6363636363636364,0.2024793388429752
Computers,500,0.656,0.644,0.5
Mallat,2400,0.9155650319829425,0.9121535181236674,0.877185501066098
Earthquakes,461,0.6618705035971223,0.7122302158273381,0.7482014388489209
SyntheticControl,600,0.9466666666666667,0.96,0.7766666666666666
DistalPhalanxOutlineAgeGroup,539,0.7122302158273381,0.7482014388489209,0.6690647482014388
DistalPhalanxTW,539,0.6115107913669064,0.6474820143884892,0.6762589928057554
MiddlePhalanxTW,553,0.474025974025974,0.4935064935064935,0.525974025974026
MiddlePhalanxOutlineAgeGroup,554,0.487012987012987,0.512987012987013,0.6168831168831169
WordSynonyms,905,0.6661442006269592,0.6755485893416928,0.44200626959247646
ProximalPhalanxTW,605,0.751219512195122,0.751219512195122,0.7804878048780488
ProximalPhalanxOutlineAgeGroup,605,0.7951219512195122,0.775609756097561,0.8390243902439024
MixedShapesSmallTrain,2525,0.7789690721649485,0.774020618556701,0.619381443298969
EOGHorizontalSignal,724,0.43370165745856354,0.47790055248618785,0.35359116022099446
EOGVerticalSignal,724,0.43646408839779005,0.46408839779005523,0.19060773480662985
SemgHandGenderCh2,900,0.79,0.855,0.35
RefrigerationDevices,750,0.4613333333333333,0.448,0.3413333333333333
ScreenType,750,0.4106666666666667,0.4026666666666667,0.3333333333333333
LargeKitchenAppliances,750,0.8053333333333333,0.824,0.4053333333333333
SmallKitchenAppliances,750,0.68,0.6853333333333333,0.376
AllGestureWiimoteZ,1000,0.6914285714285714,0.6985714285714286,0.22857142857142856
AllGestureWiimoteX,1000,0.7314285714285714,0.7414285714285714,0.15142857142857144
AllGestureWiimoteY,1000,0.74,0.7357142857142858,0.12428571428571429
CricketY,780,0.7051282051282052,0.7307692307692307,0.1794871794871795
