BeetleFly,dd_dtw_0.4,LinearSVC,0.85
BeetleFly,dd_dtw_0.6,LinearSVC,0.825
BeetleFly,dd_dtw_0.8,LinearSVC,0.825
BeetleFly,dd_fdtw_0.4,LinearSVC,0.675
BeetleFly,dd_fdtw_0.6,LinearSVC,0.725
BeetleFly,dd_fdtw_0.8,LinearSVC,0.825
BeetleFly,dd_itakura_0.4,LinearSVC,0.8
BeetleFly,dd_itakura_0.6,LinearSVC,0.825
BeetleFly,dd_itakura_0.8,LinearSVC,0.825
BeetleFly,dd_sakoe_chiba_0.4,LinearSVC,0.825
BeetleFly,dd_sakoe_chiba_0.6,LinearSVC,0.85
BeetleFly,dd_sakoe_chiba_0.8,LinearSVC,0.875
BeetleFly,dd_dtw_0.4,KNeighborsClassifier,0.875
BeetleFly,dd_dtw_0.6,KNeighborsClassifier,0.875
BeetleFly,dd_dtw_0.8,KNeighborsClassifier,0.875
BeetleFly,dd_fdtw_0.4,KNeighborsClassifier,0.8
BeetleFly,dd_fdtw_0.6,KNeighborsClassifier,0.825
BeetleFly,dd_fdtw_0.8,KNeighborsClassifier,0.825
BeetleFly,dd_itakura_0.4,KNeighborsClassifier,0.875
BeetleFly,dd_itakura_0.6,KNeighborsClassifier,0.875
BeetleFly,dd_itakura_0.8,KNeighborsClassifier,0.875
BeetleFly,dd_sakoe_chiba_0.4,KNeighborsClassifier,0.9
BeetleFly,dd_sakoe_chiba_0.6,KNeighborsClassifier,0.9
BeetleFly,dd_sakoe_chiba_0.8,KNeighborsClassifier,0.9
BirdChicken,dd_dtw_0.4,LinearSVC,0.925
BirdChicken,dd_dtw_0.6,LinearSVC,0.925
BirdChicken,dd_dtw_0.8,LinearSVC,0.925
BirdChicken,dd_fdtw_0.4,LinearSVC,0.85
BirdChicken,dd_fdtw_0.6,LinearSVC,0.875
BirdChicken,dd_fdtw_0.8,LinearSVC,0.9
BirdChicken,dd_itakura_0.4,LinearSVC,0.9
BirdChicken,dd_itakura_0.6,LinearSVC,0.925
BirdChicken,dd_itakura_0.8,LinearSVC,0.925
BirdChicken,dd_sakoe_chiba_0.4,LinearSVC,0.95
BirdChicken,dd_sakoe_chiba_0.6,LinearSVC,0.95
BirdChicken,dd_sakoe_chiba_0.8,LinearSVC,0.95
BirdChicken,dd_dtw_0.4,KNeighborsClassifier,0.925
BirdChicken,dd_dtw_0.6,KNeighborsClassifier,0.925
