dataset,dtw_1NN,dtw_SvmLinear,dtw_SvmPoly,dtw_SvmRbf,dtw_RandomForest,fastdtw_1NN,fastdtw_SvmLinear,fastdtw_SvmPoly,fastdtw_SvmRbf,fastdtw_RandomForest,sakoechiba_1NN,sakoechiba_SvmLinear,sakoechiba_SvmPoly,sakoechiba_SvmRbf,sakoechiba_RandomForest
Chinatown,0.9416909620991254,0.967930029154519,0.9650145772594753,0.9300291545189504,0.8862973760932945,0.9533527696793003,0.9795918367346939,0.9737609329446064,0.9416909620991254,0.8979591836734694,0.9387755102040817,0.9620991253644315,0.9212827988338192,0.9125364431486881,0.8950437317784257
SmoothSubspace,0.8533333333333334,0.9933333333333333,1.0,0.9933333333333333,0.9666666666666667,0.9133333333333333,1.0,1.0,1.0,0.9866666666666667,0.98,0.98,0.98,0.9933333333333333,0.9733333333333334
ItalyPowerDemand,0.9183673469387755,0.9290573372206026,0.9387755102040817,0.9057337220602527,0.9067055393586005,0.9465500485908649,0.9397473275024295,0.9504373177842566,0.9280855199222546,0.9203109815354713,0.9280855199222546,0.9533527696793003,0.9650145772594753,0.9436345966958212,0.9407191448007775
SonyAIBORobotSurface1,0.6638935108153078,0.8502495840266223,0.8635607321131448,0.8435940099833611,0.8635607321131448,0.7171381031613977,0.7687188019966722,0.7903494176372712,0.8236272878535774,0.8752079866888519,0.6688851913477537,0.8352745424292846,0.8352745424292846,0.831946755407654,0.8302828618968386
SonyAIBORobotSurface2,0.8195173137460651,0.8415529905561385,0.8520461699895068,0.8184679958027282,0.7660020986358866,0.838405036726128,0.8037775445960126,0.8037775445960126,0.8016789087093389,0.7806925498426023,0.8352570828961176,0.8216159496327388,0.8237145855194123,0.7859391395592865,0.8121720881427072
MoteStrain,0.896964856230032,0.8753993610223643,0.8514376996805112,0.8578274760383386,0.8698083067092651,0.8913738019169329,0.8785942492012779,0.8626198083067093,0.8961661341853036,0.8538338658146964,0.8825878594249201,0.8642172523961661,0.8274760383386581,0.8937699680511182,0.8849840255591054
TwoLeadECG,0.9271290605794557,0.9824407374890255,0.9402985074626866,0.7155399473222125,0.7734855136084284,0.9306409130816505,0.9701492537313433,0.9139596136962248,0.7111501316944688,0.7892888498683055,0.9078138718173837,0.9297629499561019,0.8375768217734855,0.7111501316944688,0.7734855136084284
ECGFiveDays,0.7514518002322881,0.727061556329849,0.7398373983739838,0.586527293844367,0.6202090592334495,0.7862950058072009,0.7862950058072009,0.7468060394889663,0.6236933797909407,0.6666666666666666,0.778164924506388,0.7909407665505227,0.7166085946573751,0.6213704994192799,0.6724738675958188
BME,0.8866666666666667,0.92,0.8533333333333334,0.6133333333333333,0.7933333333333333,0.9666666666666667,0.96,0.78,0.7466666666666667,0.8866666666666667,0.9466666666666667,0.9933333333333333,0.6266666666666667,0.54,0.7733333333333333
CBF,0.97,0.9977777777777778,0.9944444444444445,0.9922222222222222,0.9866666666666667,0.9922222222222222,0.9977777777777778,0.9877777777777778,0.9966666666666667,0.9922222222222222,0.9822222222222222,0.9955555555555555,0.9866666666666667,0.9577777777777777,0.9144444444444444
Fungi,0.8440860215053764,0.8494623655913979,0.7849462365591398,0.8494623655913979,0.6559139784946236,0.8709677419354839,0.8172043010752689,0.7741935483870968,0.8172043010752689,0.7580645161290323,0.8655913978494624,0.8010752688172043,0.7365591397849462,0.8010752688172043,0.7903225806451613
MelbournePedestrian,0.8798687986879868,0.9179991799917999,0.8101681016810168,0.7334973349733497,0.8802788027880278,0.9081590815908159,0.9274292742927429,0.7966379663796638,0.7191471914719147,0.8954489544895449,0.9089790897908979,0.9540795407954079,0.8072980729807298,0.7585075850758508,0.9159491594915949
MelbournePedestrian,0.8798687986879868,0.9179991799917999,0.8101681016810168,0.7334973349733497,0.8802788027880278,0.9081590815908159,0.9278392783927839,0.7966379663796638,0.7191471914719147,0.8954489544895449,0.9089790897908979,0.954862535904801,0.8075502667213788,0.7587197373820271,0.9167008617152236
UMD,0.8472222222222222,0.9583333333333334,0.8125,0.8194444444444444,0.9513888888888888,0.8611111111111112,0.8402777777777778,0.7083333333333334,0.8263888888888888,0.9305555555555556,0.8541666666666666,0.9861111111111112,0.5416666666666666,0.5,0.6527777777777778
ECG200,0.79,0.84,0.85,0.75,0.75,0.83,0.83,0.82,0.72,0.76,0.82,0.88,0.85,0.84,0.82
